MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,449619183399XXXL,COL,Veste hardshell stretch 2D haute-visibilité Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,449725138933XS,COL,Veste softshell haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,449725138933S,COL,Veste softshell haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,4497251389334XL,COL,Veste softshell haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,449725138933M,COL,Veste softshell haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,449725138933XXL,COL,Veste softshell haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,449918459800XS,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800S,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,4499184598004XL,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800M,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800L,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800XL,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800XXL,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,449918459800XXXL,COL,Veste hiver polycoton Gris foncé,FABDIS,Gris foncé,COLORM,,,1,1
BLAKLADER,450515198933XS,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933S,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
